Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
81759231249,81759262950,31701,0,31701,NCCL:ncclGroupEnd,1114948,1114948,1,0,28781,25594,:25594:28781,--NCCL:ncclGroupEnd
81759252369,81759258892,6523,0,6523,NCCL:ncclGroupStart,1114946,1114946,1,0,28782,25593,:25593:28782,--NCCL:ncclGroupStart
81759259693,81759264102,4409,0,4409,NCCL:ncclAllGather,1114946,1114946,1,0,28783,25593,:25593:28783,--NCCL:ncclAllGather
81759264673,81759296274,31601,0,31601,NCCL:ncclGroupEnd,1114946,1114946,1,0,28784,25593,:25593:28784,--NCCL:ncclGroupEnd
81759269382,81759274572,5190,0,5190,NCCL:ncclGroupStart,1114947,1114947,1,0,28785,25768,:25768:28785,--NCCL:ncclGroupStart
81759275294,81759280003,4709,0,4709,NCCL:ncclAllGather,1114947,1114947,1,0,28786,25768,:25768:28786,--NCCL:ncclAllGather
81759280584,81759311724,31140,0,31140,NCCL:ncclGroupEnd,1114947,1114947,1,0,28787,25768,:25768:28787,--NCCL:ncclGroupEnd
81763431318,81763432551,1233,0,1233,NCCL:ncclGroupStart,1114945,1114945,1,0,28788,25592,:25592:28788,--NCCL:ncclGroupStart
81763433613,81763437620,4007,0,4007,NCCL:ncclReduceScatter,1114945,1114945,1,0,28789,25592,:25592:28789,--NCCL:ncclReduceScatter
81763438161,81763465494,27333,0,27333,NCCL:ncclGroupEnd,1114945,1114945,1,0,28790,25592,:25592:28790,--NCCL:ncclGroupEnd
