rank	iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
6	15	pp-dp	6927323332131477	6927324560006972	1227875495	33554432	525336576
6	15	dp-pp	6927326767137539	6927326767813761	676222	4	4
6	15	pp-dp	6927326767836225	6927326806938455	39102230	4	131334144
6	16	dp-pp	6927328253195317	6927328299130264	45934947	54534144	33554432
6	16	pp-dp	6927335828504276	6927337186557282	1358053006	33554432	525336576
6	16	dp-pp	6927339227056931	6927339335411677	108354746	4	4
6	16	pp-dp	6927339335420989	6927339351107155	15686166	4	131334144
6	17	dp-pp	6927340792446534	6927340886495047	94048513	54534144	33554432
6	17	pp-dp	6927348391265959	6927349765119109	1373853150	33554432	525336576
6	17	dp-pp	6927351788750135	6927351839680589	50930454	4	4
6	17	pp-dp	6927351839689837	6927351855422786	15732949	4	131334144
6	18	dp-pp	6927353296143402	6927353368254631	72111229	54534144	33554432
6	18	pp-dp	6927360769055348	6927361997558776	1228503428	33554432	525336576
6	18	dp-pp	6927364018832028	6927364069958737	51126709	4	4
6	18	pp-dp	6927364069968177	6927364085610961	15642784	4	131334144
6	19	dp-pp	6927365519346330	6927365568226838	48880508	54534144	33554432
6	19	pp-dp	6927372955756991	6927374179499967	1223742976	33554432	525336576
6	19	dp-pp	6927376188943482	6927376233314818	44371336	4	4
6	19	pp-dp	6927376233324290	6927376247776411	14452121	4	4
7	10	dp-pp	6927254209844788	6927254265020455	55175667	54534144	33554432
7	10	pp-dp	6927261462316121	6927262848150757	1385834636	33554432	525336576
7	10	dp-pp	6927264934835282	6927265067905188	133069906	4	4
7	10	pp-dp	6927265067914340	6927265083723543	15809203	4	131334144
7	11	dp-pp	6927266493760503	6927266585526565	91766062	54534144	33554432
7	11	pp-dp	6927274011168016	6927275379898441	1368730425	33554432	525336576
7	11	dp-pp	6927277406484659	6927277520712376	114227717	4	4
7	11	pp-dp	6927277520721560	6927277536376011	15654451	4	131334144
7	12	dp-pp	6927278939050343	6927279041337812	102287469	54534144	33554432
7	12	pp-dp	6927286475567633	6927287834768852	1359201219	33554432	525336576
7	12	dp-pp	6927289833384615	6927289959632331	126247716	4	4
7	12	pp-dp	6927289959641419	6927289975366176	15724757	4	131334144
7	13	dp-pp	6927291321234262	6927291477837653	156603391	54534144	33554432
7	13	pp-dp	6927298616671802	6927299983727552	1367055750	33554432	525336576
7	13	dp-pp	6927302009537009	6927302127364170	117827161	4	4
7	13	pp-dp	6927302127373290	6927302143046292	15673002	4	131334144
7	14	dp-pp	6927303554094230	6927303652414583	98320353	54534144	33554432
7	14	pp-dp	6927310934835781	6927312320209442	1385373661	33554432	525336576
7	14	dp-pp	6927314317904561	6927314434883309	116978748	4	4
7	14	pp-dp	6927314434892429	6927314450738783	15846354	4	131334144
7	15	dp-pp	6927315845443347	6927315954034006	108590659	54534144	33554432
7	15	pp-dp	6927323183835150	6927324559955157	1376120007	33554432	525336576
7	15	dp-pp	6927326648987725	6927326767430128	118442403	4	4
7	15	pp-dp	6927326767439568	6927326783249732	15810164	4	131334144
7	16	dp-pp	6927328171080418	6927328298983294	127902876	54534144	33554432
7	16	pp-dp	6927335811155116	6927337186511339	1375356223	33554432	525336576
7	16	dp-pp	6927339198177376	6927339335410997	137233621	4	4
7	16	pp-dp	6927339335420085	6927339351067305	15647220	4	131334144
7	17	dp-pp	6927340727141494	6927340886360026	159218532	54534144	33554432
7	17	pp-dp	6927348374695546	6927349765105241	1390409695	33554432	525336576
7	17	dp-pp	6927351718972900	6927351839679494	120706594	4	4
7	17	pp-dp	6927351839688581	6927351855424313	15735732	4	131334144
7	18	dp-pp	6927353214333969	6927353368212696	153878727	54534144	33554432
7	18	pp-dp	6927360616674042	6927361997463830	1380789788	33554432	525336576
7	18	dp-pp	6927363955739886	6927364069957582	114217696	4	4
7	18	pp-dp	6927364069966862	6927364085739348	15772486	4	131334144
7	19	dp-pp	6927365498341736	6927365568076982	69735246	54534144	33554432
7	19	pp-dp	6927372796070768	6927374179461492	1383390724	33554432	525336576
7	19	dp-pp	6927376114450185	6927376233313964	118863779	4	4
7	19	pp-dp	6927376233323148	6927376247668129	14344981	4	4
8	10	pp-dp	6927254277841558	6927254278511032	669474	33554432	131338240
8	10	dp-pp	6927255561005217	6927256865619047	1304613830	54534144	33554432
8	10	pp-dp	6927256880390437	6927258872402540	1992012103	33554432	525352960
8	10	dp-pp	6927261565881971	6927261565885939	3968	218136576	33554432
8	10	pp-dp	6927261571141022	6927261574580965	3439943	33554432	4
8	10	dp-pp	6927261576589801	6927261625930801	49341000	4	4
8	11	pp-dp	6927266598216525	6927266598886734	670209	33554432	131338240
8	11	dp-pp	6927267883278868	6927269186112796	1302833928	54534144	33554432
8	11	pp-dp	6927269201707709	6927271193279708	1991571999	33554432	525352960
8	11	dp-pp	6927274015569281	6927274015581953	12672	218136576	33554432
8	11	pp-dp	6927274022951249	6927274026397112	3445863	33554432	4
8	11	dp-pp	6927274026407096	6927274159254926	132847830	4	4
8	12	pp-dp	6927279053849435	6927279054520572	671137	33554432	131338240
8	12	dp-pp	6927280298880715	6927281638931454	1340050739	54534144	33554432
8	12	pp-dp	6927281652959099	6927283646547442	1993588343	33554432	525352960
8	12	dp-pp	6927286446560328	6927286446562567	2239	218136576	33554432
8	12	pp-dp	6927286454342616	6927286457782239	3439623	33554432	4
8	12	dp-pp	6927286457792127	6927286612533859	154741732	4	4
8	13	pp-dp	6927291490705178	6927291491377211	672033	33554432	131338240
8	13	dp-pp	6927292754202235	6927294085989291	1331787056	54534144	33554432
8	13	pp-dp	6927294100312009	6927296089695401	1989383392	33554432	525352960
8	13	dp-pp	6927298748351242	6927298748353482	2240	218136576	33554432
8	13	pp-dp	6927298755523512	6927298758963552	3440040	33554432	4
8	13	dp-pp	6927298758973312	6927298759004992	31680	4	4
8	14	pp-dp	6927303664434071	6927303665103096	669025	33554432	131338240
8	14	dp-pp	6927304956093994	6927306259987317	1303893323	54534144	33554432
8	14	pp-dp	6927306274544434	6927308264610844	1990066410	33554432	525352960
8	14	dp-pp	6927311088457900	6927311088470060	12160	218136576	33554432
8	14	pp-dp	6927311095834843	6927311099276386	3441543	33554432	4
8	14	dp-pp	6927311099286146	6927311099317954	31808	4	4
8	15	pp-dp	6927315966595566	6927315967270575	675009	33554432	131338240
8	15	dp-pp	6927317261924768	6927318568830722	1306905954	54534144	33554432
8	15	pp-dp	6927318582471167	6927320574495542	1992024375	33554432	525352960
